system:index,centroid_lat,centroid_lon,ndvi,year,.geo
0_23,-28.2885000103474,-54.015499999958614,7923.747309197652,2014.0,"{""type"":""Polygon"",""coordinates"":[[[-54.02000000000001,-28.293],[-54.011,-28.293],[-54.011,-28.284],[-54.02,-28.284],[-54.02000000000001,-28.293]]]}"
0_24,-28.279500010329336,-54.01549999995381,8041.308626875408,2014.0,"{""type"":""Polygon"",""coordinates"":[[[-54.02,-28.284],[-54.011,-28.284],[-54.011,-28.275000000000002],[-54.02,-28.275],[-54.02,-28.284]]]}"
0_25,-28.27050001033012,-54.01549999994697,7687.329256360079,2014.0,"{""type"":""Polygon"",""coordinates"":[[[-54.02,-28.275],[-54.011,-28.275000000000002],[-54.011,-28.266000000000002],[-54.02000000000001,-28.266],[-54.02,-28.275]]]}"
0_26,-28.26150001043042,-54.01549999995846,6692.205642530985,2014.0,"{""type"":""Polygon"",""coordinates"":[[[-54.02000000000001,-28.266],[-54.011,-28.266000000000002],[-54.011,-28.257],[-54.02,-28.256999999999998],[-54.02000000000001,-28.266]]]}"
0_27,-28.252500010386143,-54.015499999957925,5710.3917971298115,2014.0,"{""type"":""Polygon"",""coordinates"":[[[-54.02000000000001,-28.257000000000005],[-54.011,-28.257000000000005],[-54.011,-28.248000000000005],[-54.02000000000001,-28.248],[-54.02000000000001,-28.257000000000005]]]}"
0_28,-28.243500010384945,-54.01549999998438,6686.7838388780165,2014.0,"{""type"":""Polygon"",""coordinates"":[[[-54.02000000000001,-28.248],[-54.011,-28.248000000000005],[-54.011,-28.239],[-54.02,-28.239],[-54.02000000000001,-28.248]]]}"
0_29,-28.495500010155496,-54.00650000000913,7724.223134755251,2014.0,"{""type"":""Polygon"",""coordinates"":[[[-54.011,-28.5],[-54.002,-28.5],[-54.002,-28.491000000000003],[-54.011,-28.490999999999996],[-54.011,-28.5]]]}"
0_30,-28.486500010132414,-54.00650000000891,7711.236536732861,2014.0,"{""type"":""Polygon"",""coordinates"":[[[-54.011,-28.490999999999996],[-54.002,-28.491000000000003],[-54.002,-28.482000000000003],[-54.011,-28.482000000000006],[-54.011,-28.490999999999996]]]}"
0_31,-28.47750001015489,-54.006499999990844,8063.093936422328,2014.0,"{""type"":""Polygon"",""coordinates"":[[[-54.011,-28.482000000000006],[-54.002,-28.482000000000003],[-54.002,-28.473000000000003],[-54.011,-28.472999999999995],[-54.011,-28.482000000000006]]]}"
0_32,-28.4685000101507,-54.006499999993956,7444.154449620007,2014.0,"{""type"":""Polygon"",""coordinates"":[[[-54.011,-28.472999999999995],[-54.002,-28.473000000000003],[-54.002,-28.464000000000002],[-54.011,-28.464000000000002],[-54.011,-28.472999999999995]]]}"
0_33,-28.4595000101824,-54.00650000000139,7704.709160742012,2014.0,"{""type"":""Polygon"",""coordinates"":[[[-54.011,-28.464000000000002],[-54.002,-28.464000000000002],[-54.002,-28.455],[-54.011,-28.455],[-54.011,-28.464000000000002]]]}"
0_34,-28.45050001016773,-54.00649999998272,8201.904470049847,2014.0,"{""type"":""Polygon"",""coordinates"":[[[-54.011,-28.455],[-54.002,-28.455],[-54.002,-28.445999999999998],[-54.011,-28.445999999999998],[-54.011,-28.455]]]}"
0_35,-28.44150001025425,-54.006499999990524,7837.732328185013,2014.0,"{""type"":""Polygon"",""coordinates"":[[[-54.011,-28.446000000000005],[-54.002,-28.446000000000005],[-54.002,-28.437],[-54.011,-28.437],[-54.011,-28.446000000000005]]]}"
0_36,-28.43250001018885,-54.00650000001301,7898.103415869904,2014.0,"{""type"":""Polygon"",""coordinates"":[[[-54.011,-28.437],[-54.002,-28.437],[-54.002,-28.428],[-54.011,-28.428],[-54.011,-28.437]]]}"
0_37,-28.42350001017673,-54.00650000001977,7601.576816213126,2014.0,"{""type"":""Polygon"",""coordinates"":[[[-54.011,-28.428],[-54.002,-28.428],[-54.002,-28.419000000000004],[-54.011,-28.419000000000004],[-54.011,-28.428]]]}"
0_38,-28.414500010228817,-54.0065000000126,7628.206790880118,2014.0,"{""type"":""Polygon"",""coordinates"":[[[-54.011,-28.419000000000004],[-54.002,-28.419000000000004],[-54.002,-28.41],[-54.011,-28.410000000000004],[-54.011,-28.419000000000004]]]}"
0_39,-28.405500010242772,-54.00650000002029,8277.755046171447,2014.0,"{""type"":""Polygon"",""coordinates"":[[[-54.011,-28.410000000000004],[-54.002,-28.41],[-54.002,-28.401000000000003],[-54.011,-28.401000000000003],[-54.011,-28.410000000000004]]]}"
0_40,-28.396500010232096,-54.00650000003618,7773.975034730735,2014.0,"{""type"":""Polygon"",""coordinates"":[[[-54.011,-28.401000000000003],[-54.002,-28.401000000000003],[-54.002,-28.391999999999996],[-54.011,-28.392],[-54.011,-28.401000000000003]]]}"
